q_id,exam,q_number,type,drawing,drawing_line,drawing_3d,drawing_newman,drawing_chair,drawing_structural,drawing_graph,unit,rotation,reaction,transformation,electronflow
0,f2018,1,Choose best atom,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,basics,FALSE,reactants,,TRUE
1,f2018,2,Choose best option,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,sub,TRUE,reactants,,TRUE
2,f2018,3,Choose best molecule,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,basics,FALSE,none,,TRUE
3,f2018,4,Choose best option,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,basics,FALSE,none,,TRUE
4,f2018,5,Choose best option,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,kinetics,FALSE,none,,FALSE
5,f2018,6,Choose best option,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,kinetics,FALSE,none,,FALSE
6,f2018,7,Choose best molecule,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,elim,TRUE,full,,TRUE
7,f2018,8,Graphing,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,elim,FALSE,none,,FALSE
8,f2018,9,Choose best option,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,elim,TRUE,none,,TRUE
9,f2018,10,Calculation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,basics,FALSE,equation,,FALSE
10,f2018,11,Calculation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,other,FALSE,equation,,FALSE
11,f2018,12,Calculation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,other,FALSE,full,,FALSE
12,f2018,13,Choose best molecule,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,sub,FALSE,none,,TRUE
13,f2018,14,Choose best molecule,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,basics,TRUE,none,,FALSE
14,f2018,15,Choose best option,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,elim,FALSE,none,,TRUE
15,f2018,16,Choose best option,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,elim,FALSE,none,,TRUE
16,f2018,17,Choose best option,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,eas,FALSE,none,,TRUE
17,f2018,18,Choose best atom,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,eas,FALSE,none,,TRUE
18,f2018,19,Choose best molecule,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,eas,FALSE,none,,TRUE
19,f2018,20,Choose best atom,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,elim,TRUE,reactants,,TRUE
